Id,Clothing Type,Sex,Color,Brand,Price,Images,1st Image Preview,Miscellaneous
552,Kleid,Weiblich,Rot,Next,79,"[http://damenmode.schwab.de/pool/formata/6913801.jpg?img=refresh,http://damenmode.schwab.de/pool/formata/7531646.jpg]",,"Next Kleid rot (44, 38, 36, 40)Korallenfarbenes Kleid mit strukturierter Oberfläche60 % Polyester, 37 % Baumwolle, 3 % Elasthan. Futter: 100 % Polyester. Gürtel: 100 % Polyurethan.Der Blazer fällt eng aus. Bitte eine Nummer größer bestellen."
553,Kleid,Weiblich,Grün,,99,[http://media08.smatch.com/300x220/219595980.jpg],,"Apart Kleid, mint-weißKleid Kleid mit Tupfenprint. Rockteil plissiert. Vorne am Bund mit Schleifen verziert. Reißverschluss seitlich. Länge: ca. 98cm. Material: Obermaterial und Futter aus 100% Polyester"
554,Kleid,Weiblich,Blau,,69.9,[http://image01.otto.de/pool/albamoda_formatI/6602787.jpg],,"Alba Moda Kleid blau Gr. 42Kleid, detailverliebt, extravagant und feminin! Softer Feinstrick mit Rollkragen zum Raffen. Rippenstrickeinsatz in der Taille. Abnehmbarer Gürtel mit Metallschließe und -ösen. Tolle Passform: Fully-Fashioned-Verarbeitung. Länge ca. 90 cm. 36% Baumwolle, 35% Polyamid, 29% Viskose, waschbar"
555,Kleid,Weiblich,Grau,,89.25,[http://www.outerinner.com/img1/imgs/ub6f/w240h370e0b1.jpg],,"Glitter Metallic Grau Bandage Kleid""Dieses Glitter Metallic Grau Bandage Kleid ist aus outerinner , die billige Brautkleider , Brautjungfer Kleider und günstige Ballkleider bieten , verfügen sie:Silhouette:enges Kleid"
556,Kleid,Weiblich,Rot,,71.1,[http://s7e3a.scene7.com/is/image/desigual/31V2152_3000?$xlarge$],,"Desigual Mimi KleiderDesigual Kleid für Frauen, Modell Mimi, Linie Fun. Ein super happy, rotes, ärmelloses Kleid mit eingefassten Ziersteinen und origineller Satinschleife um die Taille, die hervorragend zum Saum passt."
557,Kleid,Weiblich,Grau,,99.95,[http://www.sans-online.com/images/artikelen/9520_42146_medium.jpg],,Esprit Collection Kleidesprit collection n28238 kleid: kleid von esprit collection mit rundem hals. gürtel in der taille. reissverschluss und schlitz hinten.
558,Kleid,Weiblich,Schwarz,SugarShock,69.9,"[http://files.rakuten.de/591867bbab91625e8789fe6a5c5a3af1/images/42058985.jpg,http://files.rakuten.de/591867bbab91625e8789fe6a5c5a3af1/images/42058985_1.jpg,http://files.rakuten.de/591867bbab91625e8789fe6a5c5a3af1/images/42058985_2.jpg,http://files.rakuten.de/591867bbab91625e8789fe6a5c5a3af1/images/42058985_3.jpg,http://files.rakuten.de/591867bbab91625e8789fe6a5c5a3af1/images/42058985_4.jpg,http://files.rakuten.de/591867bbab91625e8789fe6a5c5a3af1/images/42058985_5.jpg,http://files.rakuten.de/591867bbab91625e8789fe6a5c5a3af1/images/42058985_6.jpg]",,"SugarShock GINGHAM Pin Up Retro rockabilly SWING Petticoat Karo KleidSugarShock GINGHAM Pin Up Retro rockabilly SWING Petticoat Karo Kleid Petticoatkleid Wunderschönes vintage50s Swing Dress ! 1 Größe auswählen: S ( 36-38 ), M ( 38-40 ), L ( 40-42 ) oder XL ( 42-44 )Maße für S: ca. 107 cm lang Brustumfang: ca. 83 cm ungedehnt Taillenumfang: ca. 72 cm ungedehntMaße für M: ca. 112 cm lang Brustumfang: ca. 89 cm ungedehnt Taillenumfang: ca. 77 cm ungedehntMaße für L: ca. 114 cm lang Brustumfang: ca. 94 cm ungedehnt Taillenumfang: ca. 81 cm ungedehntMaße für XL: ca. 116 cm lang Brustumfang: ca. 100 cm ungedehnt ..."
559,Kleid,Weiblich,Grün,,139.9,"[http://www.marc-o-polo.de/images/products/unknown/2013/ab/185c01ccbce3abc5032a10699dc95b15.jpg,http://www.marc-o-polo.de/images/products/unknown/2013/bb/0392ea3eb97b89913728e9ec245d55e0.jpg,%20http://www.marc-o-polo.de/images/products/unknown/2013/cb/9ea24a64b83f4c3c457132197841a74b.jpg]",,"Marc O'Polo Kleid Farbe gruen, Größe 44Leichtes Kleid in einer modischen und dennoch zeitlosen Eleganz. Die matt glänzende, samtige Viskoseware und ein softer Unterrock liegen wunderbar leicht auf der Haut und versprechen einen luftigen Tragegenuss. Zarte Fältelungen an der Schulterpartie, ein knöpfbarer Rückenausschnitt und ein dezenter Taillenbund unterstreichen die Optik des wertigen Konzepts. Ein tolles Detail sind die unauffällig gearbeiteten Eingrifftaschen."
561,Kleid,Weiblich,Schwarz,Soul Dress,69.99,"[http://cdn.acfrg.com/i/900_900_fit/ACfrG/productpics_fullsize/1/199228a.png,http://cdn.acfrg.com/i/900_900_fit/ACfrG/productpics_fullsize/1/199228a1.png,http://cdn.acfrg.com/i/900_900_fit/ACfrG/productpics_fullsize/1/199228a2.png,http://cdn.acfrg.com/i/900_900_fit/ACfrG/productpics_fullsize/1/199228am.jpg,http://cdn.acfrg.com/i/900_900_fit/ACfrG/productpics_fullsize/1/199228b.png,http://cdn.acfrg.com/i/900_900_fit/ACfrG/productpics_fullsize/1/199228b1.png,http://cdn.acfrg.com/i/900_900_fit/ACfrG/productpics_fullsize/1/199228b2.png,http://cdn.acfrg.com/i/900_900_fit/ACfrG/productpics_fullsize/1/199228bm.png]",,"Soul Dress: KleidTraumhaftes Gothic-Kleid ""Soul Dress"" Kleid mit figurbetonter Korsagenoptik, abnehmbare Korsage mit Reißverschluss auf der Front und Schnürung auf dem Rücken. Der vordere Teil des Rockes lässt sich wunderschön raffen. Die Länge beträgt ca. 89 cm."
562,Kleid,Weiblich,Bunt,,69.95,[http://www.fashionid.de/securemedia/selection-by-s-oliver-kleid-mit-collierkragen-vorderansicht-8782164-71a33be7e18c39e32f7de564d2eb34ca416582683e5ddaa5fa7ad68a979f1cb7189f9be92744d40ff579d1f8c058aeccccc30a4e6c27782d8c2e79588b078d9a/sys_master/056/generated_8859538161694_FILL_WIDTH_OR_HEIGHT_FORCE_RETAIN_PAR_484_471.png/generated_8859538161694_FILL_WIDTH_OR_HEIGHT_FORCE_RETAIN_PAR_484_471.png],,"SELECTION BY S.OLIVER, Kleid mit Collierkragen in Blau / TürkisEin wahres Kunststück! Dieses Kleid von Selection by S.Oliver spielt mit Farben wie große Meister der Kunst das auch tun. Das seidig weiche Material und der ärmellose Schnitt wirken besonders modisch. Der Collierkragen gehört als trendy Detail zu den Must-Haves der Saison."
